OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
144,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129006,COSHMA,Cois Máighe,,,156243,134143,556203,634192,1,522,FF,1169769600000,
145,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129007,GLENQUIN,Gleann an Choim,,,124846,127635,524813,627685,1,522,FF,1169769600000,
146,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129008,KENRY,Caonraí,,,141632,152939,541595,652984,1,522,FF,1169769600000,
147,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129009,KILMALLOCK,Cill Mocheallóg,,,159723,128024,559682,628074,1,522,FF,1169769600000,
148,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129010,NORTH LIBERTIES,Na Líbeartaí Thuaidh,,,153394,157741,553355,657785,1,522,FF,1169769600000,
149,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129011,OWNEYBEG,Uaithne Beag,,,175257,154865,575213,654909,1,522,FF,1169769600000,
150,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129012,PUBBLEBRIEN,Pobal Bhriain,,,152301,151909,552262,651954,1,522,FF,1169769600000,
151,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129013,SHANID,Seanaid,,,117817,143951,517785,643998,1,522,FF,1169769600000,
152,LIMERICK,Luimneach,LIMERICK,,By,Bar,N,,129014,SMALLCOUNTY,An Déis Bheag,,,166932,139056,566890,639104,1,522,FF,1169769600000,
153,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139001,ARDAGH,Ardach,,,222829,270151,622775,770170,,,Fiontar,,
154,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139002,GRANARD,Gránard,,,228517,281813,628462,781829,,,Fiontar,,
155,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139003,LONGFORD,An Longfort,,,215605,282085,615553,782101,,,Fiontar,,
156,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139004,MOYDOW,Maigh Dumha,,,211978,267907,611926,767927,,,Fiontar,,
157,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139005,RATHCLINE,Ráth Claon,,,205530,260568,605480,760589,,,Fiontar,,
158,LONGFORD,An Longfort,LONGFORD,,By,Bar,N,,139006,SHRULE,Sruthail,,,221348,258460,621294,758482,,,Fiontar,,
159,LOUTH,Lú,LOUTH,,By,Bar,N,,149001,ARDEE,Baile Átha Fhirdhia,,,300769,291401,700698,791415,1,521,AMCM,1164153600000,
160,LOUTH,Lú,LOUTH,,By,Bar,N,,149002,DROGHEDA,Droichead Átha,,,308759,276706,708687,776723,1,521,AMCM,1164153600000,
161,LOUTH,Lú,LOUTH,,By,Bar,N,,149003,DULEEK LOWER,Damhliag Íochtarach,,,307802,274443,707730,774461,1,521,AMCM,1164153600000,
162,LOUTH,Lú,LOUTH,,By,Bar,N,,149004,DUNDALK LOWER,Dún Dealgan Íochtarach,,,313709,312285,713636,812294,1,521,AMCM,1164153600000,
163,LOUTH,Lú,LOUTH,,By,Bar,N,,149005,DUNDALK UPPER,Dún Dealgan Uachtarach,,,303139,304951,703068,804962,1,521,AMCM,1164153600000,
164,LOUTH,Lú,LOUTH,,By,Bar,N,,149006,FERRARD,Fir Arda,,,309148,283062,709076,783078,1,521,AMCM,1164153600000,
165,LOUTH,Lú,LOUTH,,By,Bar,N,,149007,LOUTH,Lú,,,298750,299395,698680,799407,1,521,AMCM,1164153600000,
166,MAYO,Maigh Eo,MAYO,,By,Bar,Y,,159001,BURRISHOOLE,Buiríos Umhaill,,,101271,291747,501243,791762,2,872,FJF,1167868800000,
167,MAYO,Maigh Eo,MAYO,,By,Bar,Y,,159002,CARRA,Ceara,,,118260,281190,518229,781207,2,872,FJF,1167868800000,
168,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159003,CLANMORRIS,Clann Mhuiris,,,133715,274759,533680,774778,,,Fiontar,,
169,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159004,COSTELLO,Coistealaigh,,,147887,282979,547849,782996,,,Fiontar,,
170,MAYO,Maigh Eo,MAYO,,By,Bar,Y,,159005,ERRIS,Iorras,,,89311,321680,489286,821689,2,872,FJF,1167868800000,
171,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159006,GALLEN,Gaileanga,,,134648,295990,534613,796004,,,Fiontar,,
172,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159007,KILMAINE,Cill Mheáin,,,123059,260262,523026,760284,,,Fiontar,,
173,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159008,MURRISK,Muraisc,,,90623,273152,490597,773171,,,Fiontar,,
174,MAYO,Maigh Eo,MAYO,,By,Bar,Y,,159009,TIRAWLEY,Tír Amhlaidh,,,109545,317577,509516,817587,2,872,FJF,1167868800000,
175,MAYO,Maigh Eo,MAYO,,By,Bar,Y,,159010,ROSS,An Ros,,,104022,261321,503994,761343,2,872,FJF,1167868800000,
176,MAYO,Maigh Eo,MAYO,,By,Bar,N,,159011,TIRERAGH,Tír Fhiachrach,,,127528,318231,527495,818240,,,Fiontar,,
177,MEATH,An Mhí,MEATH,,By,Bar,N,,169001,DUNBOYNE,Dún Búinne,,,302193,243406,702122,743430,,,Fiontar,,
178,MEATH,An Mhí,MEATH,,By,Bar,N,,169002,FORE,,,,255860,278833,655799,778850,,,,,
179,MEATH,An Mhí,MEATH,,By,Bar,N,,169003,DEECE LOWER,Déise Íochtarach,,,286530,256567,686462,756589,,,Fiontar,,
180,MEATH,An Mhí,MEATH,,By,Bar,N,,169004,DULEEK LOWER,Damhliag Íochtarach,,,301792,269230,701721,769249,,,Fiontar,,
181,MEATH,An Mhí,MEATH,,By,Bar,N,,169005,KELLS LOWER,Ceanannas Íochtarach,,,274610,286796,674545,786811,,,Fiontar,,
182,MEATH,An Mhí,MEATH,,By,Bar,N,,169006,MOYFENRATH LOWER,Maigh Fionnráithe Íochtarach,,,278506,250646,678440,750669,,,Fiontar,,
183,MEATH,An Mhí,MEATH,,By,Bar,N,,169007,NAVAN LOWER,An Uaimh Íochtarach,,,283073,268263,683006,768282,,,Fiontar,,
184,MEATH,An Mhí,MEATH,,By,Bar,N,,169008,SLANE LOWER,Baile Shláine Íochtarach,,,289931,288728,689863,788743,,,Fiontar,,
185,MEATH,An Mhí,MEATH,,By,Bar,Y,,169009,LUNE,Luíne,,,271080,259644,671015,759665,2,872,AMcM,1174608000000,
186,MEATH,An Mhí,MEATH,,By,Bar,Y,,169010,MORGALLION,Machaire Gaileang,,,283983,285956,683916,785971,2,872,AMcM,1174608000000,
187,MEATH,An Mhí,MEATH,,By,Bar,N,,169011,RATOATH,Ráth Tó,,,302891,251226,702820,751249,,,Fiontar,,
188,MEATH,An Mhí,MEATH,,By,Bar,N,,169012,SKREEN,An Scrín,,,293855,264016,693786,764036,,,Fiontar,,
189,MEATH,An Mhí,MEATH,,By,Bar,N,,169013,DEECE UPPER,Déise Uachtarach,,,288596,243095,688528,743119,,,Fiontar,,
190,MEATH,An Mhí,MEATH,,By,Bar,N,,169014,DULEEK UPPER,Damhliag Uachtarach,,,310093,263742,710020,763762,,,Fiontar,,
191,MEATH,An Mhí,MEATH,,By,Bar,Y,,169015,KELLS UPPER,Ceanannas Uachtarach,,,271173,273302,671109,773320,2,872,AMcM,1174608000000,
192,MEATH,An Mhí,MEATH,,By,Bar,N,,169016,MOYFENRATH UPPER,Maigh Fionnráithe Uachtarach,,,263637,246019,663574,746043,,,Fiontar,,
193,MEATH,An Mhí,MEATH,,By,Bar,Y,,169017,NAVAN UPPER,An Uaimh Uachtarach,,,277452,261332,677386,761353,2,872,AMcM,1174608000000,
194,MEATH,An Mhí,MEATH,,By,Bar,N,,169018,SLANE UPPER,Baile Shláine Uachtarach,,,294637,277857,694568,777874,,,Fiontar,,
195,MONAGHAN,Muineachán,MONAGHAN,,By,Bar,N,,179001,CREMORNE,Críoch Mhúrn,,,276084,318488,676019,818496,1,523,FF,1173139200000,
196,MONAGHAN,Muineachán,MONAGHAN,,By,Bar,N,,179002,DARTREE,Dartraí,,,255898,323203,655837,823210,1,523,FF,1173139200000,
197,MONAGHAN,Muineachán,MONAGHAN,,By,Bar,N,,179003,FARNEY,Fearnaigh,,,282411,306274,682344,806285,1,523,FF,1173139200000,
198,MONAGHAN,Muineachán,MONAGHAN,,By,Bar,N,,179004,MONAGHAN,Muineachán,,,264205,333259,664143,833264,1,523,FF,1173139200000,
199,MONAGHAN,Muineachán,MONAGHAN,,By,Bar,N,,179005,TROUGH,An Triúcha,,,264426,345232,664364,845235,1,523,FF,1173139200000,
200,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189001,BALLYBOY,Baile Átha Buí,,,222145,216081,622091,716112,1,525,FF,1168992000000,
201,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189002,BALLYBRITT,Baile an Bhriotaigh,,,215712,200337,615659,700371,1,525,FF,1168992000000,
202,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189003,BALLYCOWAN,Baile Mhic Comhainn,,,228554,225119,628498,725148,1,525,FF,1168992000000,
203,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189004,CLONLISK,Cluain Leisc,,,205644,189601,605593,689637,1,525,FF,1168992000000,
204,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189005,COOLESTOWN,Baile an Chúlaígh,,,259031,225858,658969,725886,1,525,FF,1168992000000,
205,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189006,EGLISH,An Eaglais,,,211098,209757,611046,709789,1,525,FF,1168992000000,
206,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189007,GARRYCASTLE,Garraí an Chaisleáin,,,208542,223874,608491,723903,1,525,FF,1168992000000,
207,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189008,GEASHILL,Géisill,,,238307,220546,638249,720576,1,525,FF,1168992000000,
208,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189009,KILCOURSEY,Cill Chuairsí,,,224097,235353,624042,735380,1,525,FF,1168992000000,
209,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189010,PHILIPSTOWN LOWER,An Daingean Íochtarach,,,244354,230528,644295,730555,1,525,FF,1168992000000,
210,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189011,PHILIPSTOWN UPPER,An Daingean Uachtarach,,,249528,216853,649468,716883,1,525,FF,1168992000000,
211,OFFALY,Uíbh Fhailí,OFFALY,,By,Bar,N,,189012,WARRENSTOWN,Baile an Bhairínigh,,,253624,235603,653563,735629,1,525,FF,1168992000000,
212,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199001,ATHLONE NORTH,Baile Átha Luain Thuaidh,,,186213,257271,586167,757293,,,Fiontar,,
213,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199002,ATHLONE SOUTH,Baile Átha Luain Theas,,,192778,241976,592730,742001,,,Fiontar,,
214,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199003,BALLINTOBER NORTH,Baile an Tobair Thuaidh,,,201431,286119,601382,786135,,,Fiontar,,
215,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199004,BALLINTOBER SOUTH,Baile an Tobair Theas,,,191169,268104,591122,768124,,,Fiontar,,
216,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199005,BALLYMOE,Béal Átha Mó,,,176832,270508,576788,770527,,,Fiontar,,
217,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199006,BOYLE,Mainistir na Búille,,,187315,305675,587269,805687,,,Fiontar,,
218,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199007,CASTLEREAGH,An Caisleán Riabhach,,,162517,278754,562476,778772,,,Fiontar,,
219,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199008,FRENCHPARK,Dún Gar,,,169902,290628,569860,790643,,,Fiontar,,
220,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199009,MOYCARN,Maigh Charnáin,,,191713,229905,591666,729933,,,Fiontar,,
221,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199010,ROSCOMMON,Ros Comáin,,,189773,283510,589726,783526,,,Fiontar,,
222,ROSCOMMON,Ros Comáin,ROSCOMMON,,By,Bar,N,,199011,COSTELLO,Coistealaigh,,,161153,296889,561112,796903,,,Fiontar,,
223,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209001,CARBURY,Cairbre,,,170317,341775,570275,841779,,,Fiontar,,
224,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209002,COOLAVIN,Cúil Ó bhFinn,,,167449,302357,567407,802369,,,Fiontar,,
225,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209003,CORRAN,An Corann,,,165100,312508,565059,812518,,,Fiontar,,
226,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209004,LEYNY,Luíne,,,147279,314853,547242,814863,,,Fiontar,,
227,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209005,TIRERAGH,Tír Fhiachrach,,,140114,329801,540078,829808,,,Fiontar,,
228,SLIGO,Sligeach,SLIGO,,By,Bar,N,,209006,TIRERRILL,Tír Oirill,,,176030,319022,575986,819031,,,Fiontar,,
229,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219001,CLANWILLIAM,Clann Liam,,,189670,134813,589623,634861,1,847,FJF,1163721600000,
230,TIPPERARY,Tiobraid Árann,NORTH TIPPERARY,,By,Bar,N,,219002,ELIOGARTY,Éile Uí Fhógarta,,,213509,161349,613457,661392,1,847,FJF,1163721600000,
231,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219003,IFFA and OFFA EAST,Uíbh Eoghain agus Uíbh Fhathaidh Thoir,,,227134,127583,627079,627633,1,847,FJF,1163721600000,
232,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219004,IFFA and OFFA WEST,Uíbh Eoghain agus Uíbh Fhathaidh Thiar,,,199924,117942,599874,617994,1,847,FJF,1163721600000,
233,TIPPERARY,Tiobraid Árann,NORTH TIPPERARY,,By,Bar,N,,219005,IKERRIN,Uí Chairín,,,213047,180868,612995,680906,1,847,FJF,1163721600000,
234,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219006,KILNAMANAGH LOWER,Coill na Manach Íochtarach,,,197339,148482,597290,648527,1,847,FJF,1163721600000,
235,TIPPERARY,Tiobraid Árann,NORTH/SOUTH TIPPERARY,,By,Bar,N,,219007,KILNAMANAGH UPPER,Coill na Manach Uachtarach,,,195830,159606,595781,659649,1,847,FJF,1163721600000,
236,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219009,MIDDLETHIRD,An Trian Meánach,,,214404,137414,614351,637462,1,847,FJF,1163721600000,
237,TIPPERARY,Tiobraid Árann,NORTH TIPPERARY,,By,Bar,N,,219010,OWNEY and ARRA,Uaithne agus Ara,,,175741,169262,575697,669303,1,847,FJF,1163721600000,
238,TIPPERARY,Tiobraid Árann,NORTH TIPPERARY,,By,Bar,N,,219011,ORMOND LOWER,Urumhain Íochtarach,,,191292,196005,591244,696040,1,847,FJF,1163721600000,
239,TIPPERARY,Tiobraid Árann,NORTH TIPPERARY,,By,Bar,N,,219012,ORMOND UPPER,Urumhain Uachtarach,,,190756,173919,590709,673959,1,847,FJF,1163721600000,
240,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219013,SLIEVARDAGH,Sliabh Ardach,,,227889,149413,627833,649458,1,847,FJF,1163721600000,
241,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219014,GLENAHIRY,Gleann na hUidhre,,,220841,122096,620787,622147,1,847,FJF,1163721600000,
242,TIPPERARY,Tiobraid Árann,SOUTH TIPPERARY,,By,Bar,N,,219015,UPPERTHIRD,Uachtar Tíre,,,240840,121122,640782,621173,1,847,FJF,1163721600000,
243,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229001,COSHMORE and COSHBRIDE,Cois Abha Móire agus Cois Bhríde,,,202715,98508,602665,598564,1,524,FF,1172102400000,
244,WATERFORD,Port Láirge,WATERFORD,,By,Bar,Y,,229002,DECIES winthin DRUM,Na Déise laistigh den Drom,,,217762,85133,617709,585192,1,524,FF,1172102400000,
245,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229003,DECIES without DRUM,Na Déise lasmuigh den Drom,,,227981,101109,627925,601165,1,524,FF,1172102400000,
246,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229004,GAULTIERE,An Ghailltír,,,265916,105035,665852,605090,1,524,FF,1171584000000,
247,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229005,GLENAHIRY,Gleann na hUidhre,,,220382,115360,620328,615413,1,524,FF,1171584000000,
248,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229007,MIDDLETHIRD,An Trian Meánach,,,252959,104570,652898,604625,1,524,FF,1171584000000,
249,WATERFORD,Port Láirge,WATERFORD,,By,Bar,N,,229008,UPPERTHIRD,Uachtar Tíre,,,236137,115216,636080,615269,1,524,FF,1171584000000,
250,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239001,BRAWNY,Breámhaine,,,206057,241542,606006,741567,,,Fiontar,,
251,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239002,CLONLONAN,Cluain Lonáin,,,214018,238140,613966,738166,,,Fiontar,,
252,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239003,CORKAREE,Corca Raoi,,,241621,262343,641563,762364,,,Fiontar,,
253,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239004,DELVIN,Dealbhna,,,260096,262532,660034,762552,,,Fiontar,,
254,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239005,FARBILL,Fir Bhile,,,256900,250467,656838,750490,,,Fiontar,,
255,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239006,FARTULLAGH,Fir Thulach,,,245128,243202,645069,743227,,,Fiontar,,
256,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239007,FORE,Baile Fhobhair,,,245853,271530,645794,771549,,,Fiontar,,
257,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239008,KILKENNY WEST,Cill Chainnigh Thiar,,,210302,248943,610251,748967,,,Fiontar,,
258,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239009,MOYASHEL and MAGHERADERNON,Maigh Asail agus Machaire Ó dTiarnáin,,,243702,254057,643643,754079,,,Fiontar,,
259,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239010,MOYCASHEL,Maigh Chaisil,,,233147,238889,633091,738915,,,Fiontar,,
260,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239011,MOYGOISH,Uí Mhac gCuais,,,232014,265259,631958,765279,,,Fiontar,,
261,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239012,RATHCONRATH,Ráth Conarta,,,226271,250304,626216,750327,,,Fiontar,,
262,WESTMEATH,An Iarmhí,WESTMEATH,,By,Bar,N,,239013,ATHLONE SOUTH,Baile Átha Luain Theas,,,202473,241241,602423,741266,,,Fiontar,,
263,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249001,BALLAGHKEEN NORTH,An Bealach Caoin Thuaidh,,,311840,142445,711766,642491,,,Fiontar,,
264,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249002,BALLAGHKEEN SOUTH,An Bealach Caoin Theas,,,305412,134597,705339,634645,,,Fiontar,,
265,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249003,BANTRY,Beanntraí,,,284775,132450,684707,632499,,,Fiontar,,
266,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249004,BARGY,Uí Bhairrche,,,292453,111088,692383,611141,,,Fiontar,,
267,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249005,FORTH,Fotharta,,,305294,113374,705221,613427,,,Fiontar,,
268,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249006,GOREY,Guaire,,,312252,161396,712178,661438,,,Fiontar,,
269,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249007,SCARAWALSH,Scairbh Bhailis,,,295716,149994,695646,650039,,,Fiontar,,
270,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249008,SHELBURNE,Síol Bhroin,,,275336,113376,675270,613429,,,Fiontar,,
271,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249009,SHELMALIERE EAST,Síol Maoluír Thoir,,,301433,127088,701361,627138,,,Fiontar,,
272,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249010,SHELMALIERE WEST,Síol Maoluír Thiar,,,290605,119902,690536,619953,,,Fiontar,,
273,WEXFORD,Loch Garman,WEXFORD,,By,Bar,N,,249011,IDA,Uí Dheá,,,271286,127664,671221,627714,,,Fiontar,,
274,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259001,ARKLOW,An tInbhear Mór,,,322511,180225,722435,680263,,,Fiontar,,
275,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259002,BALLINACOR NORTH,Baile na Corra Thuaidh,,,312671,201670,712597,701703,,,Fiontar,,
276,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259003,BALLINACOR SOUTH,Baile na Corra Theas,,,307120,182564,707047,682602,,,Fiontar,,
277,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259004,NEWCASTLE,,,,325112,199571,725035,699605,,,,,
278,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259005,RATHDOWN,Ráth an Dúin,,,319559,215087,719484,715117,,,Fiontar,,
279,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259006,SHILLELAGH,Síol Éalaigh,,,296893,168032,696822,668073,,,Fiontar,,
280,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259007,TALBOTSTOWN LOWER,Baile an Talbóidigh Íochtarach,,,301104,207942,701033,707974,,,Fiontar,,
281,WICKLOW,Cill Mhantáin,WICKLOW,,By,Bar,N,,259008,TALBOTSTOWN UPPER,Baile an Talbóidigh Uachtarach,,,291963,191476,691894,691512,,,Fiontar,,
